Applying	Construct the truth table of NOT p OR q.
Applying	Build the SQL statement that shows the names of teachers hired after 2020.
Applying	Develop the formula for the number of handshakes among 6 people and compute it.
Applying	Describe the steps in finding the GCD of 36 and 60, then give the GCD.
Applying	Identify the probability of drawing a heart from a standard deck.
Applying	Name the number of subsets of a set with 4 elements.
Applying	Discuss how to compute the mean of 4, 8, 6, 10 and state the result.
Applying	Prepare the binary representation of 19.
Applying	Tukuyin ang halaga ng 4! (4 factorial).
Analyzing	Describe what is wrong with the following loop: for i in range(10): total = i.
Analyzing	Explain the cause of the error message returned by the web service.
Analyzing	Name the step in the solution where the mistake was made.
Analyzing	State which assumption in the argument is not supported by the premises.
Analyzing	Summarize the pattern shown in the monthly sales data and what drives it.
Analyzing	Identify the relationship between the two variables in the scatter plot.
Analyzing	Discuss why the two queries return a different number of rows.
Analyzing	Ipaliwanag kung bakit mali ang output ng ibinigay na programa.
Evaluating	Describe which of the three laptops you would buy for a programming class and why.
Evaluating	Explain whether the school should switch to an online enrollment system, taking a clear stand.
Evaluating	Identify the stronger of the two arguments and explain your judgment.
Evaluating	Summarize the proposal and give your recommendation on whether to fund it.
Evaluating	Compare the two algorithms and conclude which one should be used for large inputs.
Evaluating	Examine the survey method and decide if its results can be trusted.
Evaluating	Ilarawan kung alin sa dalawang disenyo ang mas mainam at bakit.
Understanding	Which statement gives the best explanation of why metals conduct electricity?
Understanding	Identify the main purpose of an operating system in your own words.
Understanding	Why is inheritance used in object-oriented programming?
Understanding	Which of the following best summarizes the story?
Remembering	Explain what DNS stands for.
Remembering	Describe the definition of a relation as given in the book.
Remembering	Which one is the correct HTML tag for a line break?
Creating	Explain how you would build a system for tracking borrowed laboratory equipment.
Creating	Describe your own design for a flood warning device for the barangay.
Creating	Identify a problem in your school and develop an original app to address it.
Creating	Using sets and Venn diagrams, write an original word problem and its solution.
Creating	Ilarawan ang sarili mong disenyo ng website para sa inyong paaralan.
