Remembering	The device that forwards packets between different networks is called a ____.
Remembering	Which access modifier makes a class member visible only within its own class in Java?
Remembering	The measure of central tendency that is the most frequent value is the ____.
Remembering	Which HTML tag defines a table row?
Remembering	Who wrote the Philippine national anthem's music?
Understanding	Which of the following best explains why UDP is faster than TCP?
Understanding	What does it mean when a method is overridden in a subclass?
Understanding	Which statement correctly describes a histogram?
Understanding	Why is the subject-verb agreement in "The list of items are on the desk" incorrect?
Understanding	What is the purpose of a constructor in a class?
Applying	A subnet uses mask 255.255.255.240. How many usable host addresses are available?
Applying	Scores: 70, 75, 80, 85, 90. What is the range?
Applying	What is the output of the expression 10 // 3 in Python?
Applying	A shirt costs 500 pesos and is on 20% discount. What is the sale price?
Applying	How many ways can 4 students be seated in a row of 4 chairs?
Analyzing	Pinging the server by IP works, but pinging by name fails. Which service is most likely failing?
Analyzing	class A defines greet(); class B extends A and also defines greet(). Which greet() runs for new B().greet(), and why?
Analyzing	The mean of a data set is much larger than its median. What does this suggest about the data?
Analyzing	Which of the following sentences contains a dangling modifier?
Analyzing	A form saves blank records whenever users press Enter twice. Which part of the code should be examined?
Evaluating	For a small school office, is a wireless-only network acceptable? Defend your answer.
Evaluating	Should an app store users' passwords using encryption or hashing? Justify.
Evaluating	A report uses a pie chart to show changes over 12 months. Is this the right chart? Explain.
Evaluating	Which of the two thesis statements is stronger for an argumentative essay, and why?
Evaluating	Is it good practice to make all class attributes public? Support your answer.
Creating	Draft a class hierarchy for vehicles in a parking management system.
Creating	Prepare a survey questionnaire to measure student satisfaction with the canteen.
Creating	Outline a network plan for a computer laboratory with 40 PCs and a server.
Creating	Write an original paragraph that uses three transitional devices.
Creating	Make a simple game program where the player guesses a random number.
