Evaluating	Applying	Compute the mean of the scores and decide whether it represents the data well.
Evaluating	Applying	Calculate the monthly cost of both internet plans and recommend the better one for the school.
Evaluating	Analyzing	Compare the two sorting algorithms and justify which should be used for large inputs.
Evaluating	Analyzing	Analyze the survey results and judge whether the conclusion is valid.
Evaluating	Understanding	Explain what normalization is and defend whether the registrar's database needs it.
Analyzing	Applying	Solve the given problem and identify the step where your classmate made a mistake.
Analyzing	Applying	Run the given code for n = 4 and determine why the output differs from the expected value.
Analyzing	Understanding	Describe the two network topologies and differentiate their fault tolerance.
Analyzing	Remembering	List the rules of inference used in the proof and identify which one is misapplied.
Applying	Remembering	State the formula for combinations and use it to find how many committees of 3 can be formed from 9 members.
Applying	Understanding	Explain the binomial distribution and compute the probability of 2 heads in 4 tosses.
Applying	Remembering	Give the definition of a subset and list all the subsets of {a, b}.
Creating	Evaluating	Design a backup plan for the registrar and justify each choice you make.
Creating	Analyzing	Analyze the problems of the current enrollment process and propose a new system to solve them.
Creating	Applying	Write an original word problem about permutations and solve it.
Creating	Understanding	Explain the purpose of an API and design one for the canteen ordering system.
Understanding	Remembering	Define encapsulation and explain why it protects data.
Understanding	Remembering	Name the three branches of government and describe the role of each.
Evaluating	Creating	Propose two possible solutions to the flooding problem and argue which one is better.
Analyzing	Evaluating	Examine the given code for security flaws and rate how serious each one is.
Evaluating	Applying	Compute the break-even point of both business plans and decide which one to pursue.
Applying	Analyzing	Trace the loop and compute the final value of total.
Understanding	Applying	Convert 25 to binary and explain why each step works.
Creating	Remembering	Recall the parts of a URL and create a website address scheme for the school's new pages.
